company_urlname,company_id,shares,C2B_likes,total_comments,weekday,afinnscore,bingscore,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Acura,85299287409.0,0.7,60.6,26.8,3.6,4.0,1.7,0.2,1.3,0.0,0.2,1.4,0.4,2.5,0.1,0.8,0.9
BMWUSA,310000000000.0,40.9,446.7,46.8,3.9,3.6,1.3,0.1,1.5,0.0,0.4,1.0,0.2,1.9,0.2,0.6,1.4
BentleyMotors,124000000000000.0,15.6,183.5,7.9,2.5,5.2,4.5,0.5,2.9,0.1,1.0,2.6,0.8,6.6,0.1,1.1,3.0
Buick,75764238259.0,13.0,113.5,38.6,3.4,4.4,1.9,0.5,1.9,0.4,0.6,1.9,1.0,3.6,0.4,1.0,2.0
Chrysler,7737305975.0,23.1,244.7,21.8,2.9,4.5,1.6,0.3,0.9,0.0,0.2,1.0,0.4,2.1,0.2,0.6,0.9
Ferrari,24712846969.0,332.8,3611.7,99.5,3.2,3.9,2.4,0.3,1.8,0.3,0.6,1.3,0.4,3.1,0.2,0.5,1.8
Honda,108000000000.0,1.0,702.5,50.1,3.5,2.4,1.1,0.4,1.2,0.1,0.2,1.0,0.9,2.0,0.4,0.4,1.1
Hyundai,71519223752.0,39.1,222.5,39.3,3.7,3.2,1.1,0.3,0.8,0.2,0.3,1.1,0.4,1.8,0.4,0.6,0.8
JaguarUSA,179000000000000.0,22.2,384.7,35.8,3.6,2.8,1.8,0.0,0.8,0.0,0.1,1.1,0.3,2.0,0.2,0.3,0.9
Kia,157000000000.0,4.7,38.8,9.5,3.6,5.9,2.2,0.3,1.2,0.1,0.1,1.4,0.8,2.9,0.5,0.8,1.7
Lamborghini,227000000000000.0,1328.3,8327.8,410.7,3.6,3.6,1.8,0.1,1.8,0.0,0.4,1.5,0.2,2.8,0.2,0.7,1.2
Lincoln,45839622981.0,9.8,128.2,33.9,3.6,3.6,2.4,0.1,1.5,0.2,0.3,1.7,0.2,4.0,0.2,0.6,2.0
LotusCars,136000000000000.0,9.1,75.9,6.3,3.4,1.7,1.1,0.4,1.3,0.2,0.4,0.8,0.8,1.8,0.4,0.5,1.0
MINIUSA,8285708220.0,17.1,144.7,23.7,3.8,3.7,1.4,0.3,1.2,0.1,0.3,1.5,0.4,2.6,0.4,0.5,1.4
Maserati,18010778998.0,53.1,589.3,22.1,2.4,6.3,2.6,0.4,2.0,0.0,0.4,1.9,0.6,3.4,0.1,0.3,1.4
Mazda,337000000000.0,74.8,641.8,106.1,3.9,5.4,2.3,0.4,1.7,0.2,0.4,1.7,0.7,3.0,0.3,0.8,2.0
Mitsubishi,6942668302.0,7.9,189.7,16.6,3.3,3.3,1.1,0.3,1.3,0.1,0.5,1.0,0.6,1.7,0.1,0.3,0.8
Nissan,238000000000.0,70.6,554.1,75.4,3.5,3.8,1.7,0.2,1.2,0.1,0.2,1.1,0.4,2.3,0.2,0.7,1.4
Pontiac,88764041239.0,0.5,179.0,275.0,3.3,3.0,1.2,0.3,1.5,0.3,0.3,1.8,0.7,2.3,0.3,0.3,1.7
SuzukiAuto,80308118792.0,5.4,62.7,7.8,4.2,4.4,1.5,0.3,1.7,0.1,0.2,1.6,0.6,2.4,0.4,1.3,1.4
VW,170000000000.0,70.2,481.4,84.8,3.5,4.5,1.6,0.3,1.3,0.1,0.2,1.4,0.4,2.3,0.2,0.5,1.3
VolvocarsUS,340000000000.0,9.3,121.3,27.5,3.7,6.0,2.2,0.3,1.6,0.2,0.3,1.8,0.5,3.0,0.1,0.8,1.0
astonmartin,15678718354.0,277.7,2500.9,96.0,3.7,3.9,1.8,0.4,2.0,0.1,0.3,1.4,0.5,4.6,0.3,1.0,1.8
audi,96585976469.0,1163.5,8507.3,371.4,3.8,1.5,0.9,0.7,1.4,0.6,0.7,1.2,0.7,1.9,0.5,0.5,1.2
cadillac,95690769922.0,90.0,1009.9,85.3,3.7,2.4,1.6,0.3,0.9,0.3,0.6,1.2,0.5,2.5,0.4,0.4,1.3
chevrolet,77589292295.0,109.6,507.5,73.5,3.6,5.1,1.6,0.4,1.3,0.1,0.3,1.3,0.5,1.8,0.4,0.7,1.2
dodge,7346304223.0,148.0,1321.7,153.4,2.8,2.8,1.1,0.3,1.1,0.0,0.5,1.0,0.5,1.8,0.2,0.6,1.3
ford,22166130048.0,97.0,732.4,116.0,3.3,3.7,1.6,0.3,1.2,0.2,0.4,1.2,0.8,3.1,0.5,0.5,1.4
gmc,5353808700.0,24.7,327.7,49.1,3.4,5.0,1.7,0.2,1.1,0.1,0.4,0.8,0.6,1.9,0.4,0.5,1.3
hummer,151000000000.0,34.6,456.5,44.5,2.5,0.4,0.0,0.2,1.2,0.1,0.2,0.8,0.5,1.2,0.2,0.0,0.9
infiniti,58128939954.0,18.5,230.3,20.0,3.3,5.3,2.2,0.5,1.8,0.4,0.6,2.1,0.8,3.7,0.4,0.8,1.9
jeep,7037526514.0,111.8,1479.2,199.3,3.0,4.8,1.5,0.3,1.5,0.2,0.3,1.1,0.5,1.9,0.3,0.7,0.9
landrover,10369058551.0,63.0,472.6,21.6,4.6,4.4,1.6,0.6,2.8,0.0,2.6,2.0,1.2,4.6,1.2,1.0,0.8
lexus,90671958533.0,47.5,626.7,60.5,3.1,4.3,1.6,0.3,1.4,0.2,0.5,1.2,0.5,2.7,0.2,0.7,1.5
mercedesbenzusa,112000000000000.0,29.6,291.5,22.9,3.8,4.4,1.7,0.4,1.4,0.2,0.5,1.3,0.8,3.2,0.3,0.5,1.4
porsche,53855227667.0,272.7,2017.9,121.6,3.8,4.0,1.9,0.0,2.0,0.1,0.1,1.7,0.0,3.1,0.1,0.7,1.8
