"","id","company_urlname","company_id","shares","C2B_likes","total_comments","created_date","post_time","post_date","weekday","time","type","message","afinnscore","bingscore","anger","anticipation","disgust","fear","joy","negative.x","positive.x","sadness","surprise","trust","constraining","litigious","negative.y","positive.y","uncertainty","n"
"2794",2794,"subaruofamerica","101616856688",16,133,28,"2012-02-06","18:56:02","2012-02-06",1,"afternoon","link","subaru teamed up with “the ellen degeneres show” to give away a subaru impreza to someone in need! be sure to set your dvr or tune in to nbc today, monday, february 6th to see it unfold - you can also check out the video clip here  and join the conversation in the comments!",1,NA,0,1,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA,20
"2795",2795,"subaruofamerica","101616856688",1,149,10,"2012-02-05","18:26:02","2012-02-05",7,"afternoon","link","it's puppy bowl sunday! pledge to walk off those nachos and treats with your best friend. don't forget to record and share your adventures with our new mobile apps, ",2,NA,0,3,0,0,3,1,4,0,0,4,1,0,0,0,0,16
"2796",2796,"subaruofamerica","101616856688",2,142,12,"2012-02-04","18:25:32","2012-02-04",6,"afternoon","link","tails are wagging across america. we're in the final days to pledge to walk your dog on game day. click here to pledge: ",NA,NA,0,0,0,0,2,0,2,0,0,2,2,0,0,0,0,13
"2797",2797,"subaruofamerica","101616856688",34,244,17,"2012-02-03","20:27:15","2012-02-03",5,"night","link","it's almost time for the most anticipated dog walk of the year. don't forget to pledge to walk your dog on super bowl sunday,            ",2,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,13
"2798",2798,"subaruofamerica","101616856688",148,342,35,"2012-02-02","19:56:30","2012-02-02",4,"night","video","a snow excursion proves fun for all but one. check out how the subaru dog pack spent their day on the slopes. ",4,2,0,1,0,0,1,1,1,0,0,0,NA,NA,NA,NA,NA,11
"2799",2799,"subaruofamerica","101616856688",34,171,37,"2012-02-02","16:18:23","2012-02-02",4,"afternoon","video","it's groundhog day! at 7:25 a.m. this morning, pennsylvania'spunxsutawney phil emerged from his burrow and spotted his shadow - thus predicting another six weeks of winter. what does this mean for subie fans? more time for winter snow sports, of course!weatherman pete gives his two cents: ",NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,24
"2800",2800,"subaruofamerica","101616856688",50,243,31,"2012-02-01","21:24:12","2012-02-01",3,"night","link","we’re proud to announce that two subaru models have ranked in the u.s. news 2012 best cars for families awards – the 2012 subaru impreza in the affordable small car category and the 2012 subaru outback in the affordable wagon category. to read more about the awards, visit ",8,5,0,1,0,0,1,0,2,0,0,1,NA,NA,NA,NA,NA,27
"2801",2801,"subaruofamerica","101616856688",17,103,10,"2012-02-01","16:15:33","2012-02-01",3,"afternoon","link","the big game is getting closer. puppy bowl, that is. install the dogbook app powered by subaru and create your dog's profile. you can share your game day adventures and sign up to receive a free* subaru doggie bandana,  *while supplies last.",4,1,0,3,0,0,2,0,4,0,0,2,NA,NA,NA,NA,NA,23
"2802",2802,"subaruofamerica","101616856688",155,271,32,"2012-01-31","21:25:12","2012-01-31",2,"night","video","watch the subaru dog pack enjoy an epic day in the sun, surf, and sand. what's your favorite thing to do at the beach?",4,2,0,3,0,1,4,0,4,0,1,3,0,0,0,2,0,13
"2803",2803,"subaruofamerica","101616856688",48,700,27,"2012-01-31","17:05:08","2012-01-31",2,"afternoon","photo","winners!",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1
